Dihedral_angle,DFT,DFT//GFN2-xTB,DFT//Orb-V3,Orb-V3
0,13.666,13.926,14.213,308.446
5,15.901,16.181,16.492,362.706
10,18.081,18.393,18.675,415.101
15,7.499,7.712,7.858,167.858
20,5.786,5.968,6.079,128.026
25,4.293,4.45,4.549,95.06
30,3.034,3.165,3.247,68.106
35,2.008,2.119,2.18,46.993
40,1.214,1.302,1.344,32.038
45,0.64,0.701,0.737,22.023
50,0.261,0.294,0.27,17.561
55,0.053,0.075,0.059,15.933
60,0,0,0,18.135
65,0.067,0.038,0.052,22.759
70,0.228,0.175,0.196,29.424
75,0.471,0.406,0.436,37.668
80,0.765,0.694,0.711,45.826
85,1.05,0.987,0.99,53.189
90,1.301,1.244,1.241,58.684
95,1.518,1.455,1.452,60.131
100,1.679,1.625,1.634,56.195
105,1.754,1.715,1.745,46.438
110,1.77,1.74,1.777,34.45
115,1.766,1.763,1.811,21.974
120,1.788,1.796,1.861,11.03
125,1.892,1.902,1.987,3.313
130,2.115,2.142,2.25,0
135,2.5,2.548,2.677,2.078
140,3.078,3.151,3.28,9.508
145,3.869,3.975,4.113,23.66
150,4.883,5.044,5.183,44.552
155,6.132,6.364,6.499,72.463
160,7.615,7.923,8.047,106.531
165,9.301,9.718,9.82,145.644
170,11.096,11.674,11.755,187.869
175,12.762,13.541,13.628,228.898
180,13.698,14.593,14.695,260.926
